Difficulty,Statement,Image,Answer1,Answer2,Answer3
12,Lloyd Blankfein is CEO of which bank?,,Goldman Sachs,JP Morgan Chase,Merril Linch
12,Who is this person?,paulson1,Henry Paulson,Ben Bernanke,Lloyd Blankfein
12,Who is this person?,dimon1,Jamie Dimon,Henry Paulson,Lloyd Blankfein
12,What is this?,mark1,A 20-Reichsmark gold coin,A 20-Mark Prussian gold coin,A 20-Mark gold-coated coin in circulation in the Weimar Republic
12,The Federal Reserve Act was passed,,"On Dec. 23rd, 1913, with most of the Congress away for Christmas","On Dec. 23rd, 1987, after the 1987 panic","On Dec. 23rd, 1790 at the First Congress"
12,Jamie Dimon is CEO of which bank?,,JP Morgan Chase,Goldman Sachs,Citigroup
12,Who is this person?,blankfein1,Lloyd Blankfein,Jamie Dimon,Goldman Sachs
12,"According to the euroskeptic Nigel Farage, H. van Rompuy resembles. . .",,A hideous creature from the Lord of the Rings,"The Flemish commander in Velazquez's ""Surrender of Breda""",Hitler's deputy Heinrich Himmler
12,"Who is credited for the following quote? ""Give me control of a nation's money and I care not who makes it's laws""",,Mayer Amschel Rothschild,Voltaire,John Pierpont Morgan
12,What is the Executive order 6102?,,An order for the American citizens to surrender their gold coin and bullion to a Federal Reserve Bank,An order for the Marines to enter the 1991 Irak war,The president's ammedment to the Glass-Steagal law
12,Which countries formed the Latin Monetary Union?,,"France, Switzerland, Italy, Belgium","France, Italy, Spain, Portugal","Spain, Italy, Portugal, Greece"
12,The gold Vreneli was legal tender in which country?,,Switzerland,Italy,France
12,How did Paul Volcker stop the 1970s stagflationary spiral?,,"He raised interest rates, even though it termporarily increased unemployment","He lowered interest rates, spurring investment",He bought mortgage-backed securities
12,The prominent investor Jim Rogers co-founded. . .,,The Quantum hedge fund along with George Soros,Princeton-Newport partners along with Edward Thorp,Berkshire Hataway along with Warren Buffet
12,What was the first stable currency in the US for more than 30 years?,,"The Spanish ""real de a 8"" silver coin",The Continental Bank note,The United States Note
12,Jim Rogers in credited for. . .,,Having retired in his 30s and traveling around the world in vespa and then again in a customized Mercedes,Having founded more than 10 hedge funds,Breaking the Bank of England foreign reserves and tumbling the exchange rate of the British Pound in 1992
